CARE_SITE_ID,CARE_SITE_NAME,PLACE_OF_SERVICE_CONCEPT_ID,LOCATION_ID,CARE_SITE_SOURCE_VALUE,PLACE_OF_SERVICE_SOURCE_VALUE
9963,,8940,,352665475,Office
10023,,8940,,356417638,Office
10083,,8940,,109866681,Office
10143,,8940,,005718893,Office
10203,,8940,,945899106,Office
10263,,8940,,576147511,Office
10323,,8756,,34138G,Outpatient Facility
10383,,8940,,296444200,Office
10443,,8940,,741048966,Office
10503,,8940,,451743414,Office
10563,,8756,,1413WH,Outpatient Facility
10623,,8940,,947466764,Office
10683,,8940,,602171518,Office
10743,,8940,,010547189,Office
10803,,8940,,952809091,Office
10863,,8940,,689893257,Office
10923,,8940,,966547345,Office
10983,,8940,,755842961,Office
11043,,8940,,545124057,Office
11103,,8940,,899500662,Office
11163,,8756,,1001XN,Outpatient Facility
11223,,8940,,313490681,Office
11283,,8940,,378775934,Office
11343,,8940,,135263368,Office
11403,,8717,,23006G,Inpatient Facility
11463,,8940,,173550422,Office
11523,,8940,,888724369,Office
11583,,8940,,038662846,Office
11643,,8940,,571795537,Office
11703,,8940,,138120600,Office
11763,,8940,,469510075,Office
11823,,8940,,028588440,Office
11883,,8717,,4506CN,Inpatient Facility
11943,,8756,,4918HJ,Outpatient Facility
12003,,8940,,133890524,Office
12063,,8940,,722525949,Office
12123,,8940,,394050387,Office
12183,,8940,,847528184,Office
12243,,8940,,229517700,Office
12303,,8940,,218965037,Office
12363,,8940,,041138589,Office
12423,,8940,,651299922,Office
12483,,8940,,311901594,Office
12543,,8940,,556644885,Office
12603,,8940,,718549041,Office
12663,,8940,,288769247,Office
12723,,8940,,006104657,Office
12783,,8940,,551176169,Office
12843,,8940,,804157565,Office
12903,,8940,,221680574,Office
12963,,8940,,954467152,Office
13023,,8940,,206458624,Office
13083,,8940,,391772994,Office
13143,,8940,,408289873,Office
13203,,8940,,790400054,Office
13263,,8940,,285426662,Office
13323,,8940,,795065823,Office
13383,,8940,,347727883,Office
13443,,8940,,383797026,Office
13503,,8940,,217054066,Office
13563,,8940,,845521958,Office
13623,,8940,,718440861,Office
13683,,8940,,756211274,Office
13743,,8940,,631449600,Office
13803,,8940,,492473338,Office
13863,,8940,,728990404,Office
13923,,8940,,346467151,Office
13983,,8940,,517558615,Office
14043,,8940,,623788489,Office
14103,,8940,,684928017,Office
14163,,8940,,443021474,Office
14223,,8717,,2601GP,Inpatient Facility
14283,,8940,,077859276,Office
14343,,8756,,3325JQ,Outpatient Facility
14403,,8940,,220321641,Office
14463,,8940,,027413123,Office
14523,,8940,,340788313,Office
14583,,8940,,164715049,Office
14643,,8756,,3301PQ,Outpatient Facility
14703,,8940,,570771224,Office
14763,,8940,,361923603,Office
14823,,8940,,110858466,Office
14883,,8756,,41008M,Outpatient Facility
14943,,8756,,0528HS,Outpatient Facility
15003,,8940,,694708395,Office
15063,,8940,,686325638,Office
15123,,8940,,565427295,Office
15183,,8940,,807676883,Office
15243,,8940,,788486037,Office
15303,,8940,,632948265,Office
15363,,8940,,083073552,Office
15423,,8940,,030170350,Office
15483,,8940,,329300886,Office
15543,,8940,,068210664,Office
15603,,8940,,367004393,Office
15663,,8940,,178647910,Office
15723,,8940,,911482208,Office
15783,,8940,,482078415,Office
15843,,8940,,048793585,Office
15903,,8940,,052652502,Office
15963,,8940,,689004402,Office
16023,,8940,,719669546,Office
16083,,8940,,420590605,Office
16143,,8717,,4600UA,Inpatient Facility
16203,,8940,,657073764,Office
16263,,8940,,752008276,Office
16323,,8940,,417456426,Office
16383,,8940,,596206649,Office
16443,,8940,,516364400,Office
16503,,8940,,716646045,Office
16563,,8940,,366785039,Office
16623,,8940,,752348051,Office
16683,,8940,,158360064,Office
16743,,8940,,473580765,Office
16803,,8940,,141254998,Office
16863,,8940,,576216206,Office
16923,,8940,,919234160,Office
16983,,8940,,120004534,Office
17043,,8940,,086649318,Office
17103,,8940,,577683265,Office
17163,,8940,,760375148,Office
17223,,8940,,098179269,Office
17283,,8940,,428371202,Office
17343,,8940,,211910733,Office
17403,,8940,,297164990,Office
17463,,8940,,786619068,Office
17523,,8940,,057891810,Office
17583,,8940,,742024471,Office
17643,,8940,,424162327,Office
17703,,8756,,1025JV,Outpatient Facility
17763,,8940,,875170243,Office
17823,,8940,,450764795,Office
17883,,8940,,407466240,Office
17943,,8940,,164786410,Office
18003,,8940,,635403730,Office
18063,,8717,,2500QH,Inpatient Facility
18123,,8940,,958650134,Office
18183,,8940,,588441452,Office
18243,,8940,,621350721,Office
18303,,8940,,567206487,Office
18363,,8940,,021410647,Office
18423,,8940,,594740583,Office
18483,,8940,,800748642,Office
18543,,8940,,181336393,Office
18603,,8940,,951382111,Office
18663,,8940,,436305619,Office
18723,,8756,,3601NP,Outpatient Facility
18783,,8940,,775659992,Office
18843,,8940,,598864230,Office
18903,,8940,,370069103,Office
18963,,8940,,682479560,Office
19023,,8940,,820261121,Office
19083,,8940,,264738823,Office
19143,,8940,,494042679,Office
19203,,8940,,610286815,Office
19263,,8756,,6700RG,Outpatient Facility
19323,,8940,,425806576,Office
19383,,8940,,197313476,Office
19443,,8940,,262697146,Office
19503,,8940,,917543310,Office
19563,,8940,,607773326,Office
19623,,8940,,444331897,Office
19683,,8940,,103007055,Office
19743,,8940,,843837482,Office
19803,,8940,,764810506,Office
19863,,8940,,546057499,Office
19923,,8756,,3300CA,Outpatient Facility
19983,,8940,,596586134,Office
20043,,8940,,919136114,Office
20103,,8940,,208524655,Office
20163,,8940,,410304519,Office
20223,,8940,,816478074,Office
20283,,8940,,582814335,Office
20343,,8940,,144303435,Office
20403,,8940,,442529575,Office
20463,,8940,,697000386,Office
20523,,8940,,733489102,Office
20583,,8940,,106531258,Office
20643,,8940,,795550127,Office
20703,,8940,,681160119,Office
20763,,8940,,008572005,Office
20823,,8940,,179002345,Office
20883,,8940,,166453248,Office
20943,,8940,,041940881,Office
21003,,8940,,456406949,Office
21063,,8940,,006050684,Office
21123,,8940,,894012146,Office
21183,,8940,,333916668,Office
21243,,8940,,601868671,Office
21303,,8940,,631138902,Office
21363,,8940,,012308975,Office
21423,,8940,,824970199,Office
21483,,8940,,135553427,Office
21543,,8940,,651757804,Office
21603,,8940,,600704831,Office
21663,,8940,,378482777,Office
6,,8940,,690139420,Office
66,,8940,,061950041,Office
126,,8940,,049695551,Office
186,,8940,,928132434,Office
246,,8940,,901771733,Office
306,,8940,,685573501,Office
366,,8756,,1501DH,Outpatient Facility
426,,8940,,604643535,Office
486,,8940,,401072020,Office
546,,8940,,469763353,Office
606,,8756,,0400YV,Outpatient Facility
666,,8940,,203487035,Office
726,,8717,,25T0KQ,Inpatient Facility
786,,8940,,082351016,Office
846,,8940,,114989824,Office
906,,8940,,640198105,Office
966,,8940,,828790789,Office
1026,,8756,,4400GD,Outpatient Facility
1086,,8940,,187503848,Office
1146,,8940,,120732432,Office
1206,,8756,,1313GD,Outpatient Facility
1266,,8940,,540072417,Office
1326,,8940,,018978520,Office
1386,,8940,,220733920,Office
1446,,8940,,504403835,Office
1506,,8940,,050359664,Office
1566,,8940,,481049701,Office
1626,,8940,,919163456,Office
1686,,8756,,1500BK,Outpatient Facility
1746,,8940,,418317314,Office
1806,,8940,,500806409,Office
1866,,8940,,649803257,Office
1926,,8940,,911547674,Office
1986,,8940,,902127230,Office
2046,,8940,,688295198,Office
2106,,8940,,832412916,Office
2166,,8717,,0200HC,Inpatient Facility
2226,,8940,,492989423,Office
2286,,8940,,355245572,Office
2346,,8940,,142760482,Office
2406,,8940,,723192909,Office
2466,,8940,,662872731,Office
2526,,8756,,2913UM,Outpatient Facility
2586,,8940,,832735215,Office
2646,,8940,,237568782,Office
2706,,8940,,536708487,Office
2766,,8940,,133944279,Office
2826,,8940,,271289674,Office
2886,,8940,,368699537,Office
2946,,8940,,027576014,Office
3006,,8940,,756274751,Office
3066,,8940,,362036172,Office
3126,,8940,,031783918,Office
3186,,8940,,459761332,Office
3246,,8940,,727174237,Office
3306,,8940,,137965524,Office
3366,,8940,,652196308,Office
3426,,8940,,865157026,Office
3486,,8940,,048045272,Office
3546,,8940,,059384777,Office
3606,,8940,,002946328,Office
3666,,8940,,336149565,Office
3726,,8940,,618344574,Office
3786,,8940,,006335946,Office
3846,,8940,,365938330,Office
3906,,8940,,822815011,Office
3966,,8940,,516651426,Office
4026,,8940,,640550453,Office
4086,,8940,,609595853,Office
4146,,8940,,204877684,Office
4206,,8756,,2300VV,Outpatient Facility
4266,,8940,,103804316,Office
4326,,8940,,180251519,Office
4386,,8940,,054206489,Office
4446,,8940,,637052748,Office
4506,,8940,,158450359,Office
4566,,8940,,749771265,Office
4626,,8940,,736968874,Office
4686,,8940,,372453532,Office
4746,,8756,,4501TS,Outpatient Facility
4806,,8940,,177318911,Office
4866,,8940,,343551171,Office
4926,,8940,,431044927,Office
4986,,8940,,611567040,Office
5046,,8756,,3300YR,Outpatient Facility
5106,,8940,,899358563,Office
5166,,8940,,872046113,Office
5226,,8940,,807768699,Office
5286,,8940,,460727024,Office
5346,,8940,,310752361,Office
5406,,8940,,220290683,Office
5466,,8940,,797186248,Office
5526,,8940,,638886157,Office
5586,,8940,,897172879,Office
5646,,8940,,923746476,Office
5706,,8940,,994820534,Office
5766,,8940,,210854101,Office
5826,,8940,,328452118,Office
5886,,8940,,918797753,Office
5946,,8940,,419811866,Office
6006,,8940,,698744299,Office
6066,,8940,,386452363,Office
6126,,8940,,371646939,Office
6186,,8940,,704808760,Office
6246,,8940,,545394660,Office
6306,,8940,,118458865,Office
6366,,8940,,572850285,Office
6426,,8940,,181999124,Office
6486,,8940,,414168433,Office
6546,,8940,,786941779,Office
6606,,8940,,478026256,Office
6666,,8940,,140469516,Office
6726,,8940,,201763544,Office
6786,,8717,,3301BB,Inpatient Facility
6846,,8940,,572464556,Office
6906,,8940,,476640722,Office
6966,,8940,,531709342,Office
7026,,8940,,380270697,Office
7086,,8940,,457533292,Office
7146,,8940,,404552321,Office
7206,,8940,,037693055,Office
7266,,8940,,035369518,Office
7326,,8756,,4901AD,Outpatient Facility
7386,,8940,,518505255,Office
7446,,8940,,579719675,Office
7506,,8940,,830867103,Office
7566,,8940,,910111397,Office
7626,,8717,,1000XR,Inpatient Facility
7686,,8940,,174890878,Office
7746,,8756,,4419UJ,Outpatient Facility
7806,,8940,,336806606,Office
7866,,8940,,414389500,Office
7926,,8940,,636788736,Office
7986,,8940,,887052886,Office
8046,,8940,,856846900,Office
8106,,8756,,1713CD,Outpatient Facility
8166,,8940,,129419624,Office
8226,,8940,,072667668,Office
8286,,8940,,365956411,Office
8346,,8940,,839485319,Office
8406,,8940,,330266589,Office
8466,,8940,,990633189,Office
8526,,8940,,758253057,Office
8586,,8756,,0503UV,Outpatient Facility
8646,,8940,,593445057,Office
8706,,8940,,807042418,Office
8766,,8940,,386661521,Office
8826,,8940,,382540756,Office
8886,,8940,,800755788,Office
8946,,8940,,564177145,Office
9006,,8940,,625271076,Office
9066,,8940,,412953152,Office
9126,,8940,,431439026,Office
9186,,8756,,5200VR,Outpatient Facility
9246,,8940,,901199803,Office
9306,,8940,,642124708,Office
9366,,8940,,434568905,Office
9426,,8940,,275329394,Office
9486,,8940,,392646862,Office
9546,,8940,,948414754,Office
9606,,8940,,820901503,Office
9666,,8940,,844366704,Office
9726,,8940,,917731167,Office
9786,,8940,,914124612,Office
9846,,8940,,161567710,Office
9906,,8940,,165280174,Office
9966,,8940,,123706586,Office
10026,,8940,,288896399,Office
10086,,8717,,4530SJ,Inpatient Facility
10146,,8940,,567544975,Office
10206,,8940,,684889362,Office
10266,,8940,,018595581,Office
10326,,8940,,410604865,Office
10386,,8940,,745655783,Office
10446,,8940,,144665503,Office
10506,,8940,,861571822,Office
10566,,8940,,069489398,Office
10626,,8940,,918876539,Office
10686,,8940,,725150578,Office
10746,,8940,,263283376,Office
10806,,8940,,659934228,Office
10866,,8940,,330384993,Office
10926,,8940,,402300298,Office
10986,,8756,,1013VV,Outpatient Facility
11046,,8940,,181993544,Office
11106,,8940,,090418514,Office
11166,,8940,,751420810,Office
11226,,8940,,067819689,Office
11286,,8940,,466360162,Office
11346,,8940,,621185364,Office
11406,,8940,,238245136,Office
11466,,8940,,426612854,Office
11526,,8940,,914312190,Office
11586,,8940,,591280739,Office
11646,,8940,,642064138,Office
11706,,8940,,840755058,Office
11766,,8756,,4401TT,Outpatient Facility
11826,,8940,,307296812,Office
11886,,8940,,779220193,Office
11946,,8940,,881369584,Office
12006,,8940,,486490229,Office
12066,,8940,,694994296,Office
12126,,8940,,580657784,Office
12186,,8940,,739377053,Office
12246,,8940,,388630532,Office
12306,,8940,,078287844,Office
12366,,8940,,339863947,Office
12426,,8940,,097917441,Office
12486,,8940,,526433795,Office
12546,,8940,,142390494,Office
12606,,8940,,505394499,Office
12666,,8940,,045765827,Office
12726,,8940,,639146461,Office
12786,,8940,,591226739,Office
12846,,8940,,296039319,Office
12906,,8940,,788979026,Office
12966,,8940,,095688530,Office
13026,,8940,,854645518,Office
13086,,8756,,2201KC,Outpatient Facility
13146,,8756,,5100GD,Outpatient Facility
13206,,8756,,2302AK,Outpatient Facility
13266,,8940,,741872858,Office
13326,,8940,,583084730,Office
13386,,8940,,219634236,Office
13446,,8940,,510299824,Office
13506,,8940,,871537663,Office
13566,,8940,,940587924,Office
13626,,8940,,095755373,Office
13686,,8756,,1839ZB,Outpatient Facility
13746,,8940,,571501128,Office
13806,,8940,,437280105,Office
13866,,8940,,998138523,Office
13926,,8940,,170623122,Office
13986,,8940,,787813107,Office
14046,,8756,,2300KC,Outpatient Facility
14106,,8940,,185592617,Office
14166,,8940,,314431147,Office
14226,,8756,,2302TV,Outpatient Facility
14286,,8940,,764687172,Office
14346,,8940,,425979943,Office
14406,,8940,,528133769,Office
14466,,8940,,309334590,Office
14526,,8940,,597044364,Office
14586,,8940,,884430324,Office
14646,,8940,,559438921,Office
14706,,8940,,415665786,Office
14766,,8940,,747682835,Office
14826,,8940,,656351660,Office
14886,,8940,,903625382,Office
14946,,8756,,2300CK,Outpatient Facility
15006,,8940,,326238055,Office
15066,,8940,,586411889,Office
15126,,8940,,567615895,Office
15186,,8940,,004295747,Office
15246,,8940,,280880413,Office
15306,,8940,,097743572,Office
15366,,8717,,2100RT,Inpatient Facility
15426,,8940,,356481889,Office
15486,,8940,,593195244,Office
15546,,8940,,894860014,Office
15606,,8940,,504107494,Office
15666,,8940,,522547685,Office
15726,,8940,,322941605,Office
15786,,8940,,773209048,Office
15846,,8940,,958286716,Office
15906,,8756,,3901DB,Outpatient Facility
15966,,8940,,905933043,Office
16026,,8940,,008892115,Office
16086,,8717,,11S1PS,Inpatient Facility
16146,,8717,,2302ZH,Inpatient Facility
16206,,8940,,301895352,Office
16266,,8940,,471041920,Office
16326,,8940,,327890890,Office
16386,,8940,,774974167,Office
16446,,8940,,333047521,Office
16506,,8940,,031716589,Office
16566,,8940,,296650471,Office
16626,,8940,,379614349,Office
16686,,8940,,968692484,Office
16746,,8940,,144063389,Office
16806,,8940,,641736649,Office
16866,,8940,,438966132,Office
16926,,8940,,861643109,Office
16986,,8940,,182600058,Office
17046,,8940,,935766639,Office
17106,,8940,,300151347,Office
17166,,8940,,163171852,Office
17226,,8940,,275722971,Office
17286,,8940,,645858125,Office
17346,,8940,,370719421,Office
17406,,8717,,2301XK,Inpatient Facility
17466,,8940,,531742336,Office
17526,,8940,,147866763,Office
17586,,8940,,488493035,Office
17646,,8940,,963467054,Office
17706,,8940,,885372647,Office
17766,,8717,,01T1VM,Inpatient Facility
17826,,8940,,052931563,Office
17886,,8756,,2500XR,Outpatient Facility
17946,,8940,,789271642,Office
18006,,8940,,868371597,Office
18066,,8940,,110504511,Office
18126,,8940,,309914404,Office
18186,,8756,,33016V,Outpatient Facility
18246,,8940,,615049032,Office
18306,,8940,,398492018,Office
18366,,8756,,1419CA,Outpatient Facility
18426,,8940,,300167223,Office
18486,,8756,,1825BA,Outpatient Facility
18546,,8940,,949996660,Office
18606,,8940,,254909915,Office
18666,,8756,,3625SN,Outpatient Facility
18726,,8940,,695539801,Office
18786,,8940,,652245781,Office
18846,,8940,,078857812,Office
18906,,8940,,314033835,Office
18966,,8940,,586741368,Office
19026,,8940,,115517633,Office
19086,,8940,,311553899,Office
19146,,8940,,465980581,Office
19206,,8940,,416311648,Office
19266,,8940,,051220590,Office
19326,,8940,,790530572,Office
19386,,8940,,098997770,Office
19446,,8940,,879228251,Office
19506,,8940,,061803008,Office
19566,,8940,,493302836,Office
19626,,8940,,834615151,Office
19686,,8940,,190166294,Office
19746,,8940,,848502391,Office
19806,,8940,,975587522,Office
19866,,8940,,528147764,Office
19926,,8940,,008247375,Office
19986,,8940,,852814729,Office
20046,,8940,,475287876,Office
20106,,8940,,523438212,Office
20166,,8940,,117145924,Office
20226,,8940,,913787007,Office
20286,,8756,,1813PT,Outpatient Facility
20346,,8940,,975643347,Office
20406,,8940,,141540106,Office
20466,,8940,,718964650,Office
20526,,8940,,872998834,Office
20586,,8940,,702359567,Office
20646,,8940,,746418501,Office
20706,,8756,,4506PR,Outpatient Facility
20766,,8940,,289912924,Office
20826,,8940,,900381003,Office
20886,,8940,,106775707,Office
20946,,8940,,341664143,Office
21006,,8940,,526295870,Office
5,,8940,,005767633,Office
65,,8940,,980989950,Office
125,,8940,,918430749,Office
185,,8940,,544971551,Office
245,,8940,,726049456,Office
305,,8940,,669740830,Office
365,,8940,,669609034,Office
425,,8940,,426898691,Office
485,,8940,,464608579,Office
545,,8940,,856094320,Office
605,,8940,,343497667,Office
665,,8940,,818014289,Office
725,,8940,,765629464,Office
785,,8940,,872915346,Office
845,,8756,,23136G,Outpatient Facility
905,,8940,,729347887,Office
965,,8940,,192213430,Office
1025,,8940,,640993529,Office
1085,,8940,,812784180,Office
1145,,8756,,1401SK,Outpatient Facility
1205,,8940,,916710975,Office
1265,,8940,,833145591,Office
1325,,8940,,389522264,Office
1385,,8940,,074457440,Office
1445,,8940,,882776715,Office
1505,,8940,,395861337,Office
1565,,8940,,397758132,Office
1625,,8940,,304790086,Office
1685,,8940,,974765256,Office
1745,,8940,,208462155,Office
1805,,8940,,381858053,Office
1865,,8940,,128357870,Office
1925,,8940,,963874688,Office
1985,,8940,,502994936,Office
2045,,8756,,2301VH,Outpatient Facility
2105,,8940,,397247638,Office
2165,,8756,,1701MN,Outpatient Facility
2225,,8940,,353312233,Office
2285,,8940,,244097120,Office
2345,,8940,,024465455,Office
2405,,8940,,160359238,Office
2465,,8940,,828753750,Office
2525,,8940,,235519246,Office
2585,,8940,,985036239,Office
2645,,8940,,237147823,Office
2705,,8940,,738716535,Office
2765,,8756,,4400RJ,Outpatient Facility
2825,,8940,,678895488,Office
2885,,8940,,412948993,Office
2945,,8940,,386898841,Office
3005,,8940,,772692044,Office
3065,,8940,,349275476,Office
3125,,8940,,041558622,Office
3185,,8940,,248699854,Office
3245,,8940,,148498665,Office
3305,,8940,,525374795,Office
3365,,8940,,152265280,Office
3425,,8940,,855458860,Office
3485,,8940,,471181993,Office
3545,,8940,,513371687,Office
3605,,8940,,869606738,Office
3665,,8940,,032962368,Office
3725,,8756,,3900MK,Outpatient Facility
3785,,8940,,471519347,Office
3845,,8940,,297427183,Office
3905,,8940,,049115076,Office
3965,,8940,,407190161,Office
4025,,8940,,221761147,Office
4085,,8940,,960561587,Office
4145,,8940,,166528500,Office
4205,,8940,,016214818,Office
4265,,8940,,381777512,Office
4325,,8940,,295566424,Office
4385,,8940,,104460491,Office
4445,,8940,,436166115,Office
4505,,8940,,679520974,Office
4565,,8940,,305624120,Office
4625,,8940,,157248970,Office
4685,,8940,,685339698,Office
4745,,8940,,561336764,Office
4805,,8940,,311370448,Office
4865,,8940,,321760574,Office
4925,,8940,,017908718,Office
4985,,8756,,5213GP,Outpatient Facility
5045,,8940,,446255850,Office
5105,,8940,,034169794,Office
5165,,8940,,210908649,Office
5225,,8940,,987212365,Office
5285,,8940,,634387633,Office
5345,,8940,,154542233,Office
5405,,8940,,837562033,Office
5465,,8940,,923617702,Office
5525,,8940,,144986397,Office
5585,,8940,,198388725,Office
5645,,8940,,357892719,Office
5705,,8940,,378822557,Office
5765,,8940,,840411751,Office
5825,,8756,,14018H,Outpatient Facility
5885,,8940,,254345093,Office
5945,,8940,,713013026,Office
6005,,8940,,601861476,Office
6065,,8940,,283092249,Office
6125,,8940,,128154947,Office
6185,,8940,,824366477,Office
6245,,8940,,411600896,Office
6305,,8940,,733421814,Office
6365,,8940,,228847552,Office
6425,,8940,,070957250,Office
6485,,8940,,920871699,Office
6545,,8940,,627888613,Office
6605,,8940,,387524921,Office
6665,,8940,,973333423,Office
6725,,8940,,873102633,Office
6785,,8940,,954370157,Office
6845,,8940,,702713036,Office
6905,,8940,,782575265,Office
6965,,8940,,418977353,Office
7025,,8940,,199042077,Office
7085,,8940,,655450914,Office
7145,,8940,,809436478,Office
7205,,8940,,168327701,Office
7265,,8756,,5213SD,Outpatient Facility
7325,,8940,,538532306,Office
7385,,8940,,692367925,Office
7445,,8756,,2800XB,Outpatient Facility
7505,,8940,,352643844,Office
7565,,8940,,691505322,Office
7625,,8940,,814842192,Office
7685,,8940,,199451251,Office
7745,,8940,,037251225,Office
7805,,8940,,577382058,Office
7865,,8756,,2900RG,Outpatient Facility
7925,,8940,,022334887,Office
7985,,8756,,5213CT,Outpatient Facility
8045,,8940,,395692454,Office
8105,,8940,,250841652,Office
8165,,8940,,759670171,Office
8225,,8756,,2100VK,Outpatient Facility
8285,,8940,,363320950,Office
8345,,8940,,600081813,Office
8405,,8940,,538605080,Office
8465,,8940,,318575158,Office
8525,,8940,,402774496,Office
8585,,8940,,501905733,Office
8645,,8940,,993617572,Office
8705,,8940,,802620548,Office
8765,,8940,,601793364,Office
8825,,8940,,345579743,Office
8885,,8756,,2200PP,Outpatient Facility
8945,,8940,,582920414,Office
9005,,8756,,5518AN,Outpatient Facility
9065,,8940,,176740167,Office
9125,,8940,,295422757,Office
9185,,8940,,543025732,Office
9245,,8940,,430142966,Office
9305,,8940,,960851529,Office
9365,,8940,,199700144,Office
9425,,8940,,845665513,Office
9485,,8940,,340318736,Office
9545,,8940,,762765101,Office
9605,,8940,,492751603,Office
9665,,8717,,1401HP,Inpatient Facility
9725,,8940,,383846135,Office
9785,,8940,,278932408,Office
9845,,8940,,409767996,Office
9905,,8940,,324846895,Office
9965,,8940,,651181487,Office
10025,,8940,,511692188,Office
10085,,8940,,619913543,Office
10145,,8940,,790959266,Office
10205,,8940,,172916445,Office
10265,,8940,,843609751,Office
10325,,8940,,479130818,Office
10385,,8940,,660350904,Office
10445,,8940,,091090835,Office
10505,,8940,,123643123,Office
10565,,8940,,634464376,Office
10625,,8940,,434481414,Office
10685,,8756,,3301UH,Outpatient Facility
10745,,8940,,341013045,Office
10805,,8940,,968374143,Office
10865,,8940,,250484318,Office
10925,,8940,,286345968,Office
10985,,8940,,159524753,Office
11045,,8756,,0500KV,Outpatient Facility
11105,,8940,,031662432,Office
11165,,8940,,525778182,Office
11225,,8940,,898846651,Office
11285,,8940,,506794853,Office
11345,,8940,,406834916,Office
11405,,8940,,012335539,Office
11465,,8756,,2501RJ,Outpatient Facility
11525,,8940,,690719368,Office
11585,,8940,,243692809,Office
11645,,8717,,3901ZS,Inpatient Facility
11705,,8940,,886058983,Office
11765,,8756,,11006N,Outpatient Facility
11825,,8940,,529370667,Office
11885,,8940,,680163579,Office
11945,,8940,,976249259,Office
12005,,8940,,258055802,Office
12065,,8940,,970939437,Office
12125,,8940,,208302729,Office
12185,,8940,,383168833,Office
12245,,8756,,14006K,Outpatient Facility
12305,,8756,,2500VG,Outpatient Facility
12365,,8940,,053712676,Office
12425,,8940,,916168268,Office
12485,,8940,,853902884,Office
12545,,8940,,972691728,Office
12605,,8940,,497682294,Office
12665,,8940,,383694611,Office
12725,,8940,,475240469,Office
12785,,8940,,527971129,Office
12845,,8940,,178043639,Office
12905,,8940,,059810435,Office
12965,,8940,,645006644,Office
13025,,8940,,155915843,Office
13085,,8940,,788049283,Office
13145,,8940,,057335178,Office
13205,,8940,,307250233,Office
13265,,8940,,890729879,Office
13325,,8940,,777588940,Office
13385,,8940,,413163388,Office
13445,,8940,,088082485,Office
13505,,8756,,3600MN,Outpatient Facility
13565,,8940,,227616032,Office
13625,,8940,,404569186,Office
13685,,8756,,5100RJ,Outpatient Facility
13745,,8940,,522214557,Office
13805,,8940,,812961273,Office
13865,,8940,,499922617,Office
13925,,8940,,665234489,Office
13985,,8940,,274847641,Office
14045,,8940,,781420614,Office
14105,,8940,,188727453,Office
14165,,8940,,580375524,Office
14225,,8940,,802181458,Office
14285,,8940,,296479893,Office
14345,,8940,,172479074,Office
14405,,8940,,229003555,Office
14465,,8940,,449890258,Office
14525,,8940,,904263647,Office
14585,,8940,,682634266,Office
14645,,8940,,736658930,Office
14705,,8940,,100835606,Office
14765,,8940,,872679521,Office
14825,,8756,,1413NM,Outpatient Facility
14885,,8940,,733720306,Office
14945,,8756,,3800CV,Outpatient Facility
15005,,8940,,301195305,Office
15065,,8940,,375500780,Office
15125,,8940,,478104300,Office
15185,,8940,,876182069,Office
15245,,8940,,208645150,Office
15305,,8940,,230162416,Office
15365,,8940,,733126580,Office
15425,,8940,,145036749,Office
15485,,8756,,4900JM,Outpatient Facility
15545,,8940,,902551739,Office
15605,,8940,,337615673,Office
15665,,8940,,439198427,Office
15725,,8940,,140850104,Office
15785,,8756,,1901GR,Outpatient Facility
15845,,8940,,747054903,Office
15905,,8940,,158963797,Office
15965,,8940,,305241802,Office
16025,,8940,,626217328,Office
16085,,8940,,360487694,Office
16145,,8940,,912825576,Office
16205,,8940,,035070905,Office
16265,,8940,,849264901,Office
16325,,8940,,698327570,Office
16385,,8940,,856102427,Office
16445,,8940,,560200185,Office
16505,,8940,,601529099,Office
16565,,8940,,420256235,Office
16625,,8940,,976707904,Office
16685,,8940,,677376924,Office
16745,,8940,,841474953,Office
16805,,8940,,366182784,Office
16865,,8940,,201701125,Office
16925,,8940,,218847511,Office
16985,,8940,,794723489,Office
17045,,8940,,974853670,Office
17105,,8940,,784339537,Office
17165,,8940,,206910076,Office
17225,,8940,,728166751,Office
17285,,8940,,532381296,Office
17345,,8940,,368046855,Office
17405,,8940,,483683771,Office
17465,,8940,,325175374,Office
17525,,8940,,112914870,Office
17585,,8756,,0600YG,Outpatient Facility
17645,,8940,,418111122,Office
17705,,8940,,718431209,Office
17765,,8940,,576786488,Office
17825,,8940,,197316910,Office
17885,,8940,,502722010,Office
17945,,8940,,385067536,Office
18005,,8940,,374680698,Office
18065,,8940,,253889345,Office
18125,,8940,,938961496,Office
18185,,8940,,497825466,Office
18245,,8940,,396218121,Office
18305,,8940,,383234785,Office
18365,,8756,,3900UC,Outpatient Facility
18425,,8940,,746904777,Office
18485,,8940,,031204829,Office
18545,,8940,,070156929,Office
18605,,8940,,326857729,Office
18665,,8940,,558528545,Office
18725,,8940,,617585049,Office
18785,,8940,,437785263,Office
18845,,8940,,063878245,Office
18905,,8940,,425938332,Office
18965,,8940,,899259001,Office
19025,,8940,,507790320,Office
19085,,8940,,660357231,Office
19145,,8940,,000186651,Office
19205,,8940,,562321062,Office
19265,,8940,,396343203,Office
19325,,8940,,628248151,Office
19385,,8940,,617891542,Office
19445,,8940,,250717362,Office
19505,,8940,,959872713,Office
19565,,8940,,582190077,Office
19625,,8940,,929973969,Office
19685,,8940,,525178199,Office
19745,,8756,,2500HU,Outpatient Facility
19805,,8940,,908420088,Office
19865,,8940,,774080737,Office
19925,,8940,,539470959,Office
19985,,8940,,587565168,Office
20045,,8940,,452616199,Office
20105,,8717,,1413CR,Inpatient Facility
20165,,8940,,915018423,Office
20225,,8940,,521852994,Office
20285,,8940,,966466710,Office
